property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"3 Bhk Apartment For Sale In Sangini Aura, Bhatha Surat",Carpet Area,1134 sqft,New Property,Poss. By Feb '26,5 Out Of 13,Unfurnished,East,3And4Bhk Budget Friendly Apartment In Gaurav Path,4750.0,₹98 Lac 
3 Bhk  House For Sale In Bamroli Surat,Carpet Area,1512 sqft,New Property,Poss. By Dec '25,1 Out Of 2,Unfurnished,East,Children Play Area Gazebo Sittinggym Zoneindoor Game Zoneopen Gymyoga Zonesitting Areagarden.Read More,3915.0,₹59.2 Lac 
"2 Bhk Apartment For Sale In Soham Elegance, Pal Surat",Super Area,1307 sqft,New Property,Ready To Move,7 Out Of 14,Unfurnished,South -West,2 Bhk New Flat For Sell In Pal Prine Area.,4250.0,₹55.6 Lac 
4 Bhk  House For Sale In Dindoli Surat,Carpet Area,1368 sqft,Unfurnished,Poss. By Oct '24,New Property,East,"Pool, Garden/Park, Main Road",Location,4697.5,₹52 Lac 
"3 Bhk Apartment For Sale In Pratishtha Heights, Palanpur Surat",Super Area,1918 sqft,New Property,Poss. By Apr '25,6 Out Of 13,Unfurnished,South -West,3 And 4 Bhk Luxurious Flat For Sell In Gaurav Path Road .,3751.0,₹71.9 Lac 
2 Bhk Apartment For Sale In Vesu Surat,Super Area,1365 sqft,New Property,Ready To Move,8 Out Of 14,Unfurnished,South -West,2 Bhk Luxurious Flat For Sell In Vesu Prime Area,5128.0,₹70 Lac 
3 Bhk Apartment For Sale In Pal Surat,Carpet Area,1100 sqft,New Property,Poss. By Dec '24,4 Out Of 14,Unfurnished,East,"This Is Ready To Go Up A Notch In Sophistication As You Quench Your Desire For All Things Unique With Amenities Like Earth Quake Standards Structural Design, Power Backup, Special Take In Construction And Ample Light In Day Time. With Easy Access To The All Transports Means, This Is Strictly For Those Who Want To Live It Up. This Multi Storied Building With Its Exclusive Apartments Is The Perfect Home And Business Place For The Choicest Few In The Name Of Shiva.Read More",4000.0,₹72.1 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,996 sqft,New Property,Poss. By Jun '25,6 Out Of 13,Unfurnished,East,"This Lovely 2 Bhk Flat Boasts Topnotch Quality And Has The Best Amenities Around. Youll Find More Facilities Here Compared To Nearby Projects, Making It A Standout Choice For Comfortable Living. Enjoy The Convenience And Comfort Of This Wellequipped Residence.Read More",4252.0,₹77 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1351 sqft,Unfurnished,5 Out Of 13,New Property,East,Garden/Park,"A 2Bhk Spacious Flat Available For Sale In A Luxurious High Rise Apartment Situated At A Prime Location Of Palanpor, Surat. The Building Has The Facilities Available Like Garden, Children Play Area, Sitting Area, Garden, Club House, Indoor Games, Banquet Hallread More",4351.0,₹58.8 Lac 
"3 Bhk Apartment For Sale In Veer Swastik Hills, Pal Surat",Super Area,1825 sqft,New Property,Poss. By Feb '25,5 Out Of 13,Unfurnished,East,"This 3 Bhk Flat Is Located In Veer Swastik Hills, Which Houses Some Of The Most Spacious Flats In Pal, Surat. The Floor Plan Additionally Contains 3 Bedrooms, 3 Bathrooms And 1 Balcony. All In All, The Flat Is Spread Over A Super Built Up Area Of 1825 Sq.Ft. The Residential Building Has 13 Floors In Total And The Flat For Sale Is Located On The 5Th Floor. This Residential Property Is Still Under Construction And Will Be Available For Possession By February 2025.Read More",4646.0,₹84.8 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,950 sqft,Resale,Ready To Move,9 Out Of 13,Unfurnished,South -West,3 Bhk New Property In Palanpore Fully Luxurious Amenities Good Property For User Good Locality Location Best Property For Rental Purposesread More,3517.0,₹51 Lac 
5 Bhk  House For Sale In Dindoli Surat,Carpet Area,2600 sqft,New Property,Poss. By Feb '26,2 Out Of 2,Unfurnished,North - East,"Residential House Is Available For Sale. It Has Carpet Area 2600 Sq-Ft, It Is 5 Bhk House, Has Total 2 Floor Facing North-East Direction.Read More",4697.5,₹75 Lac 
3 Bhk Apartment For Sale In Althan Surat,Super Area,1715 sqft,New Property,Ready To Move,2 Out Of 13,Unfurnished,East,"100 Percent Vastu Flat, 10.4Inch Floor Height, 4Side Open Campus, Very Easy Payment Scheduleread More",4665.0,₹80 Lac 
3 Bhk Apartment For Sale In Pal Surat,Carpet Area,970 sqft,Unfurnished,Ready To Move,New Property,East,Main Road,"3 Bhk Lifestyle Flats, Envisioning Spaces For Quality Life.",5454.0,₹95.2 Lac 
2 Bhk Apartment For Sale In Bhimrad Surat,Super Area,1295 sqft,New Property,Ready To Move,5 Out Of 14,Unfurnished,South -West,2 Bhk Affordable Homes1295 Sq. Ft.Lowest Rate In Althan Bhimrad.No Emi Till Possessionread More,4300.0,₹55.7 Lac 
"2 Bhk Apartment For Sale In Avadh Onica, Dumas Road Surat",Super Area,1400 sqft,New Property,Poss. By Apr '25,5 Out Of 12,Unfurnished,East,"For Those Looking To Buy A Residential Property, Here Comes One Of The Choicest Offerings In Surat, At Dumas. Brought To You By Avadh Group, Avadh Onica Is Among The Newest Addresses For Homebuyers. This Is An Underconstruction Project Right Now.Read More",4500.0,₹63 Lac 
2 Bhk Apartment For Sale In Pal Surat,Carpet Area,770 sqft,Resale,Ready To Move,11 Out Of 13,Unfurnished,East,2 Bhk Big Size Flat For Sale At Prime Location In Gaurav Path Road. All Fmcg Product And Connectivity Easy Availabel For Mor Info Callread More,3858.0,₹51 Lac 
"2 Bhk Apartment For Sale In Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,New Property,Poss. By Oct '25,5 Out Of 12,Unfurnished,South -West,"A Ray Of Sun That Falls On Your Couch Providing A Perfect Amount Of Warmth, The Day Outside Is Now Having A Strom, But Look How Safe You Are Surrounded By  These Four Walls, Where Children Are Giggling And Running Around, Where Couple Is Spending The Time Of Their Lives, And Where Oldies Are Sipping Away Stress With Some Tea.  Thats Your Amaya Homewhere Life Is Twirled Around Comfort.Read More",4250.0,₹55.7 Lac 
2 Bhk Apartment For Sale In Vesu Surat,Carpet Area,720 sqft,New Property,Poss. By Jul '24,2 Out Of 13,Unfurnished,North,The Grand Ultima Is A One Of A Kind Residential Project In Prime Vesu Area By Prestigious Jainam Group. The Residential Flats Are Available In Dimensions Of 2 Bhk. The Above Mentioned Flat Is 2 Bhk Luxury With Amazing View. It Has 2 Bathroom And Wash Area As Well As The Main Door Comes With Inbuilt Digital Locks.Read More,4851.0,₹63.5 Lac 
3 Bhk Apartment For Sale In Varacha Surat,Super Area,1520 sqft,Resale,Ready To Move,3 Out Of 14,Unfurnished,East,"Ultra Luxurious 3 Bhk Flats On Yogi Chowk, Beauty Of Construction And Living A High Class Society To Invest A Peaceful Weather As Well As Happy Living Society....Read More",4145.0,₹63 Lac 
3 Bhk Apartment For Sale In Godadara Surat,Super Area,1950 sqft,Resale,Ready To Move,6 Out Of 14,Unfurnished,East,Main Road Buliding Godadara Area Top Building Near Midas Square,3641.0,₹71 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1800 sqft,New Property,Ready To Move,4 Out Of 13,Unfurnished,East,3 Bhk Flat For Sell In Palanpur Prime Area With All Aminities.,4389.0,₹79 Lac 
3 Bhk Apartment For Sale In Adajan Surat,Super Area,1857 sqft,Resale,Ready To Move,4 Out Of 15,Unfurnished,East,New. Construction. Ready. Possession. Gated. Community,3904.0,₹72.5 Lac 
3 Bhk Apartment For Sale In Adajan Surat,Carpet Area,1500 sqft,Resale,Ready To Move,12 Out Of 13,Furnished,East,Not Available,4049.0,₹95 Lac 
"2 Bhk Apartment For Sale In Vitoria Heights, Jahangirabad Surat",Carpet Area,750 sqft,New Property,Ready To Move,4 Out Of 14,Furnished,South -West,"A Newly Apartment High Rise Tower ,Main Road Touch Apartment Very Easy Connect To Metro ,Easy Connected To All Markets,Spacious Furnished Flatread More",3941.0,₹53 Lac 
3 Bhk Apartment For Sale In Pal Surat,Super Area,2070 sqft,New Property,Poss. By Mar '25,6 Out Of 13,Unfurnished,East,Not Available,4750.0,₹98.3 Lac 
"3 Bhk Apartment For Sale In Siddhi Ellipse, Althan Surat",Super Area,2100 sqft,Resale,Ready To Move,10 Out Of 12,Furnished,East,3 Bhk Flat For Sell2100 Sq.Ft Areafurnished,4714.0,₹99 Lac 
3 Bhk Apartment For Sale In Bhimrad Surat,Carpet Area,1020 sqft,New Property,Poss. By Jan '26,9 Out Of 14,Unfurnished,East,3 Bhk Flat Available With Moderns Amenitiesunder Construction Propertypossession Possibility 2026Prime Location And Main Road Touch Projecteverything Is Near Bybooking Start Call Us For More Detailsread More,3749.0,₹69.4 Lac 
Industrial Land For Sale In Sachin Surat,Built Area,2205 sqft,Resale,Resale,Unknown,Unknown,Unknown,Industrial Plot For Sell In Sachin Prime Area With Multiple Size Option .For More Details Please Contact .Read More,2494.0,₹55 Lac 
3 Bhk Apartment For Sale In Dandi Road Surat,Super Area,1750 sqft,New Property,Poss. By Sep '24,4 Out Of 13,Unfurnished,East,Not Available,3751.0,₹65.6 Lac 
3 Bhk Apartment For Sale In Adajan Surat,Carpet Area,1100 sqft,Resale,Ready To Move,6 Out Of 9,Semi-Furnished,East,3Bhk Semi Farnished Flat For Sale On Tgb Circal,4587.0,₹75 Lac 
Plot/Land For Sale In Jahangirabad Surat,Plot Area,837 sqft,"Pool, Garden/Park, Main Road",Freehold,Resale,Yes,Unknown,Not Available,7288.0,₹61 Lac 
3 Bhk Apartment For Sale In Lp Savani Surat,Carpet Area,1200 sqft,Resale,Ready To Move,1 Out Of 5,Furnished,East,Multistorey Apartment Is Available For Sale. East Facing Flat Southwest Direction The Lower Floor Of Low Rise Building Garden And Children'S Play Area On The Campusall Markets Available Nearby.Read More,4697.5,₹86.5 Lac 
3 Bhk Apartment For Sale In Pal Surat,Super Area,1668 sqft,Resale,Ready To Move,5 Out Of 13,Furnished,East,3 Bhk Luxurious Flat With Fully Furnished Condition For Sale In Pal Arearead More,4496.0,₹75 Lac 
2 Bhk Apartment For Sale In Palanpur Surat,Super Area,1203 sqft,New Property,Ready To Move,6 Out Of 13,Unfurnished,South -West,2 Bhk Luxurious Flat For Sell In Palanpur Prime Area With All Aminities .Contact For More Details .Read More,4364.0,₹52.5 Lac 
2 Bhk Apartment For Sale In Swapna Shrusti Surat,Carpet Area,750 sqft,New Property,Ready To Move,6 Out Of 13,Unfurnished,North - East,Luxurious 2 Bhk Flat For Sell In Althan With All Modern Amenitiesread More,4804.0,₹62.5 Lac 
"2 Bhk Apartment For Sale In Sun Sarvam, Vesu Surat",Super Area,1385 sqft,New Property,Poss. By Nov '24,1 Out Of 7,Unfurnished,North,"This Beautiful 2 Bhk Flat In Vesu, Surat Is Situated In Sun Sarvam Appt, One Of The Popular Residential Society In Surat. This Property Faces The South Direction. The Flat Is Over 1385 Sq.Ft. Super Built Up Area And Comes With 2 Bedrooms, 2 Bathrooms And 1 Balcony. The Flat Has A Total Of 7 Floors And This Property Is Situated On 4Th Floor. This Residential Flat Is Currently Under Construction And You Can Expect The Possession Of The Same By November 2024. The Well Built Granite Flooring Enhances The Aesthetic Appeal Of This Flat. This Flat Is Located Near Close To Airport, Close To Mall Andread More",4751.0,₹65.8 Lac 
"3 Bhk Apartment For Sale In Shiv Samarth Ii, Pal Surat",Super Area,1802 sqft,New Property,Poss. By Oct '24,6 Out Of 12,Unfurnished,East,Not Available,3552.0,₹64 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1275 sqft,New Property,Poss. By Oct '25,4 Out Of 12,Unfurnished,East,2 Bhk Luxurious Flat For Sell In Althan Prime Area With All Aminities .Read More,3991.0,₹50.9 Lac 
"3 Bhk Apartment For Sale In Times Luxuria, Vesu Surat",Carpet Area,1179 sqft,Resale,Ready To Move,1 Out Of 12,Unfurnished,East,Ready To Move 3Bhk Apartment With All Modern Amenities In Campus And Jain Templeread More,4666.0,₹1 Cr 
"2 Bhk Apartment For Sale In Rajhans Synfonia, Vesu Surat",Super Area,1360 sqft,Resale,Ready To Move,6 Out Of 12,Furnished,East,"Luxurious Flat For Sell In Surat Citys Prime Locality With All Aminities .All Thing Nearest Like Market , Transportation , School Etc.Read More",5000.0,₹68 Lac 
"3 Bhk Apartment For Sale In Veer Swastik Heights, Pal Surat",Carpet Area,933 sqft,New Property,Ready To Move,5 Out Of 13,Unfurnished,East,"Every Homes At Veer Swastik Heights Fits Too Many Description A Dream Abode, Intelligent Investment. Complete Luxurious Project With All Modern Amenities At Pal Gam. Open And Complete Airy Location For Investors And End Users.Read More",4661.0,₹79 Lac 
"3 Bhk Apartment For Sale In Aakash Earrth, Bhimrad Surat",Carpet Area,1750 sqft,Resale,Ready To Move,10 Out Of 12,Furnished,East,"Multistorey Apartment Is Available For Sale. It Has Carpet Area 1750 Sq-Ft, It Is 3 Bhk Apartment. Please Contact For More Details.Read More",4697.5,₹1 Cr 
"2 Bhk Apartment For Sale In Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,Unfurnished,Poss. By Dec '24,New Property,Pramukh Amaya,2,"Multistorey Apartment For Sale In Palanpur, Surat. Covered Area Is 1311.0  Sq-Ft. This Property Belongs To ""Pramukh Amaya"" .Read More",4251.0,₹55.7 Lac 
2 Bhk Apartment For Sale In Veer Arihanta Surat,Carpet Area,759 sqft,Resale,Poss. By Sep '26,8 Out Of 13,Unfurnished,East,Not Available,5430.0,₹74.9 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1847 sqft,New Property,Poss. By Dec '25,8 Out Of 14,Unfurnished,East,"This 2 Bhk Flat Boasts A Prime Location, Touching The 200Foot Canal Road, Offering Easy Accessibility. All Amenities Are Conveniently Located At Podium Level, Enhancing The Overall Living Experience. Additionally, The Three Levels Of Parking, Equipped With Electric Points, Provide Ample Parking Space And Added Convenience For Residents. Enjoy The Perfect Combination Of Convenience And Comfort In This Welldesigned Residence.Read More",4293.0,₹79.3 Lac 
"2 Bhk Apartment For Sale In Avadh Onica, Dumas Road Surat",Super Area,1400 sqft,New Property,Poss. By Jun '25,5 Out Of 13,Unfurnished,East,Pure 2Bhk Campus In The Prime Location Of Dummas,4500.0,₹63 Lac 
2 Bhk Apartment For Sale In Dumas Road Surat,Super Area,1400 sqft,New Property,Poss. By Mar '25,6 Out Of 12,Unfurnished,South -West,2 Bhk Luxurious Flat For Sell In Dummas Road With All Luxurious Aminities.Read More,4500.0,₹63 Lac 
Plot/Land For Sale In Palanpur Surat,Plot Area,1080 sqft,Congo,Freehold,Resale,2,15 M,Not Available,9074.0,₹98 Lac 
3 Bhk Villa For Sale In Dindoli Surat,Carpet Area,1638 sqft,Unfurnished,Poss. By Apr '25,New Property,East,Main Road,Location,4697.5,₹53.5 Lac 
"2 Bhk Apartment For Sale In Shilalekh Imperia, Pal Surat",Super Area,1283 sqft,New Property,Poss. By Apr '25,6 Out Of 13,Unfurnished,South -West,2 And 3 Bhk Luxurious Flat For Sell In Pal Prime Area With All Aminities.Read More,4551.0,₹58.4 Lac 
3 Bhk Apartment For Sale In Vesu Surat,Super Area,1775 sqft,New Property,Ready To Move,10 Out Of 14,Unfurnished,South -West,Luxurious 3 Bhk All Required Amenities In Vesu Prime Location .,5127.0,₹91 Lac 
3 Bhk Apartment For Sale In Pal Surat,Carpet Area,950 sqft,New Property,Poss. By Dec '24,4 Out Of 14,Unfurnished,East,"This Is Ready To Go Up A Notch In Sophistication As You Quench Your Desire For All Things Unique With Amenities Like Earth Quake Standards Structural Design, Power Backup, Special Take In Construction And Ample Light In Day Time. With Easy Access To The All Transports Means, This Is Strictly For Those Who Want To Live It Up. This Multi Storied Building With Its Exclusive Apartments Is The Perfect Home And Business Place For The Choicest Few In The Name Of Shiva.Read More",3999.0,₹66 Lac 
3 Bhk Apartment For Sale In Jahangir Pura Surat,Carpet Area,942 sqft,New Property,Poss. By May '25,Lower Basement Out Of 14,Unfurnished,East,"The Project Also Caters To Sports Enthusiasts With Multiuse Sports Games Facilities, Ensuring A Dynamic And Active Community. For Social Events And Functions, Theres A Multipurpose Hall Available. Families With Children Will Appreciate The Dedicated Kids Play Area, And The Welldesigned Landscape And Lawn Areas Contribute To The Overall Aesthetic Appeal Of The Projectread More",3451.0,₹59.2 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,1751 sqft,Unfurnished,8 Out Of 13,New Property,East,"Garden/Park, Main Road","No Brokerage On This Property. A 2Bhk Spacious Flat Available For Sale In A Luxurious High Rise Apartment Situated At A Prime Location Of Palanpor, Surat. The Building Has The Facilities Available Like Garden, Children Play Area, Sitting Area, Garden, Club House, Indoor Games, Banquet Hallread More",4351.0,₹76.2 Lac 
"2 Bhk Apartment For Sale In Rameswaram Ivaan, Palanpur Surat",Super Area,1315 sqft,New Property,Poss. By Nov '24,6 Out Of 13,Unfurnished,East,"This 2 Bhk Apartment Is Available For Sale In Rameshvarm Ivaan , One Of The Most Prominent Projects For Flats In Palanpur, Surat. The Flat Is Over 1315 Sq.Ft. Super Built Up Area And Comes With 2 Bedrooms, 2 Bathrooms And 1 Balcony. This Flat Lies On The 5Th Level Of A 13 Storey Building. This Residential Property Is Still Under Construction And Will Be Available For Possession By December 2024.Read More",3991.0,₹52.5 Lac 
"3 Bhk Apartment For Sale In Nakshatra Galaxia, Palanpur Surat",Carpet Area,1100 sqft,Resale,Ready To Move,12 Out Of 15,Unfurnished,South -West,No Extension Of Registrations Charge,3766.0,₹65 Lac 
4 Bhk Villa For Sale In Dindoli Surat,Carpet Area,2500 sqft,Unfurnished,Poss. By Jul '24,New Property,North - East,Main Road,20X38 Only 12 Bungalow,4697.5,₹85.5 Lac 
3 Bhk Apartment For Sale In Vesu Surat,Super Area,1715 sqft,New Property,Poss. By Oct '24,10 Out Of 13,Unfurnished,East,"Pay Only 16Lacs And Then No Payment Till Possession. Floor Height 10.4Inch, No Any Hidden Chargesread More",4781.0,₹82 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Carpet Area,885 sqft,Unfurnished,Ready To Move,New Property,East,Garden/Park,Desire To Complete Your Dream Home Ends Today,4300.0,₹65.4 Lac 
3 Bhk Apartment For Sale In Pal Surat,Super Area,1745 sqft,New Property,Poss. By Dec '24,5 Out Of 14,Unfurnished,South -West,"2 Bhk 1285 Sq Ft    55. 91 Lacs3 Bhk1745 Sq Ft75. 92 Lacsgood Project Near Gaurav Path Road, Palread More",4351.0,₹75.9 Lac 
"3 Bhk Apartment For Sale In Avadh Carolina, Dumas Road Surat",Super Area,1840 sqft,Resale,Ready To Move,9 Out Of 12,Unfurnished,East,"Enter The World Of The Future Reassure Your Senses Of Time, Avadhs Carolina Is A Manifestation Of The Future. Landscaped Like It Is A Stroke From A Paint Brush, Finished With Comfort And Luxury Of Futuristic Urban Living, Carolina Stands Elite. Situated Close To The Surat Airport, It Is A 5.8 Acre Spread Of The Future.Read More",4511.0,₹83 Lac 
3 Bhk Apartment For Sale In Jahangirabad Surat,Carpet Area,922 sqft,New Property,Ready To Move,7 Out Of 13,Unfurnished,South -West,"3 Bhk Lavish Flat For Sale At  Prime Location In Jahangirabad, Near D Mart. Suitable For Residence And Investment Pourpose.Read More",3301.0,₹55.3 Lac 
"3 Bhk Apartment For Sale In Raghuvir Spalex, Vesu Surat",Super Area,1902 sqft,New Property,Ready To Move,5 Out Of 10,Unfurnished,South -West,This Project Is Located At Good Location Of Vesu With All The Modern Amenities Inside The Project With 3  2 Bhk Flats In The Project With 5 Building Project.Read More,5100.0,₹97 Lac 
Shop For Sale In Vip Road Surat,Super Area,413 sqft,Resale,Ready To Move,Ground Out Of 5,1 Open,Unknown,"Ground Floor Shop Is Available For Sale At Marvella Palladium. Best Suited For Food, Small Businesses, Boutique And Fashion Garments.Read More",15496.0,₹64 Lac 
"2 Bhk Apartment For Sale In Echo Point, Althan Surat",Super Area,1180 sqft,Resale,Ready To Move,5 Out Of 13,Furnished,Garden/Park,Fully Furnished 2 Bhk Flat For Sale Tv Was Not In List,5508.0,₹65 Lac 
"3 Bhk Apartment For Sale In Nakshatra Galaxia, Palanpur Surat",Super Area,1857 sqft,Resale,Ready To Move,5 Out Of 14,Unfurnished,East,"Nakshatra Galaxia Is A Luxurious High-Rise Apartment Situated Just Nearby Gaurav Path Road At Palanpor. The Building Also Has The Facilities Available Like Garden, Children Play Area, Multipurpose Hall, Gym, Indoor Game, Swimming Pool Etc. For Best Price And Other Details Contact-Read More",4066.0,₹75.5 Lac 
3 Bhk Apartment For Sale In Godadara Surat,Super Area,1500 sqft,Resale,Ready To Move,8 Out Of 14,Unfurnished,East,Main Road Buliding Godadara Area Top Building Near Midas Square,3667.0,₹55 Lac 
3 Bhk Apartment For Sale In Pal Surat,Super Area,1950 sqft,New Property,Ready To Move,5 Out Of 12,Unfurnished,East,Pal Galaxy Circle Adajan To Gauravpath Road,4308.0,₹84 Lac 
"2 Bhk Apartment For Sale In Santvan Newon, Palanpur Surat",Super Area,1251 sqft,Resale,Ready To Move,5 Out Of 13,Semi-Furnished,South -West,2Bhk Luxurious Flat For Sell In Palanpur Prime Area With New Construction.For Amore Details Please Contact.Read More,4556.0,₹57 Lac 
2 Bhk Apartment For Sale In Adajan Surat,Carpet Area,720 sqft,Resale,Ready To Move,9 Out Of 12,Furnished,East,Not Available,4308.0,₹56 Lac 
"3 Bhk Apartment For Sale In Nakshatra Galaxia, Palanpur Surat",Super Area,1857 sqft,New Property,Poss. By Dec '24,10 Out Of 13,Unfurnished,East,"3 Bhk Flat For Sale In Nakshatra Galaxia, Palanpur,Surat. Project By Happy Home Groupread More",3800.0,₹70.6 Lac 
3 Bhk Apartment For Sale In Pal Surat,Super Area,1850 sqft,New Property,Poss. By Mar '25,7 Out Of 13,Unfurnished,East,Not Available,4651.0,₹86 Lac 
3 Bhk Apartment For Sale In Mantra Hights Surat,Super Area,1850 sqft,Resale,Ready To Move,3 Out Of 12,Furnished,East,Mantra Hights,5027.0,₹93 Lac 
3 Bhk Apartment For Sale In Dumas Road Surat,Super Area,2164 sqft,New Property,Poss. By Dec '25,7 Out Of 12,Unfurnished,East,Not Available,4321.0,₹93.5 Lac 
1 Bhk Villa For Sale In Palanpur Surat,Super Area,106 sqyrd,Unfurnished,Ready To Move,Resale,East,"Garden/Park, Main Road",Luxurious Row House For Sell In Surat Prime Location With All Aminities.Read More,8910.0,₹85 Lac 
Plot/Land For Sale In Dandi Road Surat,Plot Area,900 sqft,5,Freehold,Resale,2,20 M,Not Available,7444.0,₹67 Lac 
"3 Bhk Apartment For Sale In Divine Desire, Palanpur Surat",Super Area,1522 sqft,New Property,Ready To Move,5 Out Of 13,Unfurnished,East,4Bhk Luxurious Flats For Sell In Palanpur Prime Area,4001.0,₹60.9 Lac 
"2 Bhk Apartment For Sale In Shreepad Panorama, Palanpur Gam Surat",Super Area,1299 sqft,Resale,Ready To Move,9 Out Of 11,Semi-Furnished,East,Not Available,4311.0,₹56 Lac 
2 Bhk Apartment For Sale In Pal Gam Surat,Carpet Area,830 sqft,Resale,Ready To Move,11 Out Of 12,Semi-Furnished,East,"Full Interior On Flat,Main Road Campus,All Market Near By Area,All Public Transport Is Available At The Building Campus Gate.Read More",4697.5,₹55 Lac 
3 Bhk Apartment For Sale In Anand Mahal Road Surat,Super Area,1850 sqft,Resale,Ready To Move,1 Out Of 7,Furnished,East,3Bhk Fully Furnished,3784.0,₹70 Lac 
3 Bhk Apartment For Sale In Palanpur Surat,Super Area,2255 sqft,New Property,Ready To Move,6 Out Of 13,Unfurnished,South -West,3 Bhk Luxurious Flat For Sell In Palanpur Prime Area With All Aminities .Contact For More Details .Read More,3459.0,₹78 Lac 
3 Bhk Apartment For Sale In Vesu Surat,Carpet Area,867 sqft,New Property,Ready To Move,7 Out Of 13,Unfurnished,North - East,Luxurious 3 Bhk Flat For Sell With All Modern Amenities.,4822.0,₹76 Lac 
"3 Bhk Apartment For Sale In Sun Sarvam, Vesu Surat",Super Area,2060 sqft,New Property,Poss. By Nov '24,5 Out Of 7,Unfurnished,East,"Sun Sarvam Appt Is One Of Surats Most Sought After Destination For Apartments And This 3 Bhk Flat In Vesu Is Your Opportunity To Be A Part Of This Community. This Is A Northfacing Property. The Floor Plan Additionally Contains 3 Bedrooms, 3 Bathrooms And 1 Balcony. All In All, The Flat Is Spread Over A Super Built Up Area Of 1925 Sq.Ft. The Flat Has A Total Of 7 Floors And This Property Is Situated On 5Th Floor. This Residential Flat Is Currently Under Construction And You Can Expect The Possession Of The Same By November 2024. The Beautifully Designed Granite Flooring Enhances The Beautyread More",4440.0,₹91.5 Lac 
"2 Bhk Apartment For Sale In Nandini 3, Vesu Surat",Super Area,1283 sqft,Resale,Ready To Move,4 Out Of 8,Furnished,South -West,Not Available,5066.0,₹65 Lac 
"3 Bhk Apartment For Sale In Anand Avenue, Jahangirabad Surat",Super Area,1620 sqft,New Property,Ready To Move,11 Out Of 14,Unfurnished,East,3 Bhk Flat For Sell In Jahangirabad Prime Area With Almost New Constructionread More,3580.0,₹58 Lac 
2 Bhk Apartment For Sale In Althan Surat,Super Area,1275 sqft,New Property,Poss. By Oct '25,5 Out Of 12,Unfurnished,East,2 Bhk Luxurious Flat For Sell In Althan Prime Area With All Aminities .Read More,3991.0,₹50.9 Lac 
"3 Bhk Apartment For Sale In Times Luxuria, Vesu Surat",Carpet Area,1179 sqft,Resale,Ready To Move,11 Out Of 12,Unfurnished,East,Ready To Move 3Bhk Apartment With All Modern Amenities In Campus And Jain Templeread More,4620.0,₹99 Lac 
"3 Bhk Apartment For Sale In Nakshatra Nebula, Jahangirabad Surat",Super Area,1609 sqft,Resale,Ready To Move,1 Out Of 13,Semi-Furnished,East,"This Is 2 Bhk Semi Furnished Flat. Bed,Wardrobe, Kitchen Cupboards  Light, Fan.Read More",3543.0,₹57 Lac 
"4 Bhk Apartment For Sale In Blue Bells, Jahangir Pura Surat",Carpet Area,1495 sqft,Resale,Ready To Move,7 Out Of 13,Unfurnished,East,This Is The Fully Furnished Flat With All Amenities. It Has All  Elecronic Items  And Luxuries Interior .Read More,3696.0,₹85 Lac 
"3 Bhk Apartment For Sale In Swagat Callista, Bamroli Surat",Super Area,1811 sqft,New Property,Ready To Move,6 Out Of 14,Unfurnished,South - East,Luxurious Flat For Sell With All Luxurious Aminities .More Details Please Contact.Read More,3589.0,₹65 Lac 
"3 Bhk Apartment For Sale In White Wings Flamingo, Bhimrad Surat",Carpet Area,1250 sqft,Resale,Ready To Move,11 Out Of 12,Unfurnished,East,The Property Is Easily Connected To All The Basic Needs And It Just 300 Mtrs Away From Metro Station And 2 Km Away From Diamond Bourche Above This Over All  Comunity In This Society Are Mixed And Very Friendly All The Festivals Are Celebrated Very Joyfullread More,4869.0,₹95 Lac 
"3 Bhk Apartment For Sale In Pramukh Amaya, Palanpur Surat",Super Area,1811 sqft,Unfurnished,Poss. By Dec '24,New Property,Pramukh Amaya,3,"Multistorey Apartment For Sale In Palanpur, Surat. Covered Area Is 1811.0  Sq-Ft. This Property Belongs To ""Pramukh Amaya"" .Read More",4251.0,₹77 Lac 
"3 Bhk Apartment For Sale In Pramukh Amaya, Palanpur Surat",Super Area,2111 sqft,Unfurnished,Poss. By Dec '24,New Property,Pramukh Amaya,3,"Multistorey Apartment For Sale In Palanpur, Surat. Covered Area Is 2111.0  Sq-Ft. This Property Belongs To ""Pramukh Amaya"" .Read More",4251.0,₹89.7 Lac 
3 Bhk Apartment For Sale In Pal Surat,Carpet Area,1035 sqft,New Property,Poss. By Jun '25,9 Out Of 14,Unfurnished,East,Not Available,4600.0,₹86.5 Lac 
